City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Labuhan,-6.8844,112.2051,302.07,76,16,7.68,ID,1612675009
Porto Belo,-27.1578,-48.5531,292.15,88,0,1.03,BR,1612675009
San Patricio,28.017,-97.5169,289.15,72,1,3.6,US,1612675009
Kilis,36.7161,37.115,275.15,87,0,1.98,TR,1612675009
Diapaga,12.0708,1.7889,295.65,22,9,2.69,BF,1612675010
Burnie,-41.0667,145.9167,295.37,85,2,2.24,AU,1612675010
Bāfq,31.6128,55.4107,288.97,29,8,4.49,IR,1612675010
Urengoy,65.9667,78.3667,249.02,88,100,6.8,RU,1612674972
Vanimo,-2.6741,141.3028,299.68,84,100,3.31,PG,1612674836
Nova Granada,-20.5339,-49.3142,296.15,49,0,2.06,BR,1612675010
Lavrentiya,65.5833,-171.0,249.21,78,0,3.1,RU,1612674944
Isla Vista,34.4133,-119.861,288.71,82,1,1.54,US,1612675010
Orlik,52.5178,99.825,261.39,86,7,1.06,RU,1612675010
Garoowe,8.4054,48.4845,296.07,62,98,5.9,SO,1612675010
Havøysund,70.9963,24.6622,270.42,92,100,9.82,NO,1612675010
Shingū,33.7333,135.9833,288.15,47,20,7.72,JP,1612674755
Nha Trang,12.25,109.1833,302.15,58,20,6.69,VN,1612675011
Port Pirie,-33.1833,138.0167,296.15,56,16,8.75,AU,1612675011
Byron Bay,-28.65,153.6167,304.15,65,68,5.14,AU,1612674831
Alekseyevsk,57.8406,108.3492,263.14,94,100,5.49,RU,1612675011
Río Viejo,8.5874,-73.839,298.83,76,99,0.54,CO,1612675011
Castro,-24.7911,-50.0119,288.99,90,73,3.89,BR,1612675011
Hobart,-42.8794,147.3294,294.82,45,20,9.26,AU,1612675011
Gatton,-27.55,152.2833,309.26,41,40,2.06,AU,1612675011
Talnakh,69.4865,88.3972,239.64,72,0,0.42,RU,1612675011
Olafsvik,64.8945,-23.7142,274.42,82,10,6.77,IS,1612675011
Kapaa,22.0752,-159.319,294.15,60,90,2.57,US,1612674996
Cockburn Town,21.4612,-71.1419,298.2,79,0,9.96,TC,1612674948
Vila Franca do Campo,37.7167,-25.4333,288.71,94,40,8.75,PT,1612675012
Narsaq,60.9167,-46.05,280.15,29,75,9.26,GL,1612675012
Boulsa,12.6675,-0.5758,296.69,20,98,3.99,BF,1612675012
Champerico,14.3,-91.9167,290.37,93,0,2.58,GT,1612675012
Kutum,14.2,24.6667,279.99,57,16,3.22,SD,1612675012
Saint-Joseph,-21.3667,55.6167,302.15,70,0,3.6,RE,1612675012
Dhidhdhoo,6.8833,73.1,300.64,69,26,5.17,MV,1612675012
Jinxi,30.4323,116.2922,291.57,39,62,1.8,CN,1612675012
Saint Paul Harbor,57.79,-152.4072,273.15,59,1,3.6,US,1612675012
Kodīnar,20.7903,70.7031,299.56,23,0,7.8,IN,1612675013
Havre-St-Pierre,50.2334,-63.5986,270.15,93,90,15.95,CA,1612674958
Río Gallegos,-51.6226,-69.2181,283.66,61,17,1.98,AR,1612674741
Lang Son,21.8333,106.7333,299.25,41,0,3.26,VN,1612675013
Niquelândia,-14.4739,-48.4597,293.77,95,100,1.32,BR,1612675013
Lorengau,-2.0226,147.2712,301.48,82,95,3.32,PG,1612674812
Goderich,43.7501,-81.7165,266.15,93,100,7.2,CA,1612674951
Saint-Pierre,-21.3393,55.4781,302.15,70,0,3.6,RE,1612675013
Nānākuli,21.3906,-158.1547,296.15,56,1,1.54,US,1612675013
Acapulco de Juárez,16.8634,-99.8901,296.9,76,0,1.53,MX,1612674759
Ranot,7.7777,100.3213,300.72,73,59,5.77,TH,1612675013
Poum,-20.2333,164.0167,300.6,66,7,3.24,NC,1612675014
Anloga,5.7947,0.8973,301.15,89,40,4.12,GH,1612675014
Porto Seguro,-16.4497,-39.0647,298.15,88,20,2.57,BR,1612675014
Walvis Bay,-22.9575,14.5053,290.93,88,25,4.12,NA,1612674948
Port Elizabeth,-33.918,25.5701,294.15,78,0,8.23,ZA,1612674747
Doka,13.5167,35.7667,288.42,43,14,4.69,SD,1612675014
Boguchany,58.3814,97.4531,268.78,96,100,3.16,RU,1612675014
Meulaboh,4.1363,96.1285,304.25,58,34,1.67,ID,1612675014
Luanda,-8.8368,13.2343,298.15,88,75,2.06,AO,1612674739
Buraidah,26.326,43.975,282.15,100,40,4.12,SA,1612674840
Mar del Plata,-38.0023,-57.5575,291.48,77,75,2.57,AR,1612675015
Nísia Floresta,-6.0911,-35.2086,298.15,88,20,1.54,BR,1612675015
Vila Velha,-20.3297,-40.2925,297.15,83,90,4.12,BR,1612674972
Mitchell,43.7094,-98.0298,254.15,65,1,1.84,US,1612674858
Bambanglipuro,-7.95,110.2833,305.21,59,12,2.0,ID,1612675015
Kuminskiy,58.6667,66.5667,272.14,99,100,3.82,RU,1612675015
Van,38.4924,43.3831,270.15,86,40,1.03,TR,1612675015
Margate,51.3813,1.3862,275.37,87,100,4.92,GB,1612674903
Klyuchi,52.2667,79.1667,274.35,87,85,11.53,RU,1612675015
Carahue,-38.7,-73.1667,287.15,100,90,2.57,CL,1612675015
La Ronge,55.1001,-105.2842,238.15,61,19,2.06,CA,1612675016
Hualmay,-11.0964,-77.6139,294.76,78,100,2.76,PE,1612675016
Palora,-1.7,-77.9333,292.03,94,95,1.16,EC,1612675016
Hong Kong,22.2855,114.1577,296.48,58,0,0.45,HK,1612674952
Padang,-0.9492,100.3543,305.15,55,20,3.6,ID,1612675016
Abhā,18.2164,42.5053,285.15,81,0,1.54,SA,1612675016
Konëvo,62.1215,39.3192,248.49,88,72,3.2,RU,1612675016
Sabla,12.7525,4.7077,292.63,24,37,4.75,NG,1612675016
Tautira,-17.7333,-149.15,297.15,78,75,2.57,PF,1612675016
Arraial do Cabo,-22.9661,-42.0278,296.81,82,99,2.24,BR,1612675016
Danilov,58.1908,40.1717,251.93,91,98,3.27,RU,1612675016
Grand Gaube,-20.0064,57.6608,302.04,74,2,4.47,MU,1612675017
Blackwater,-23.5833,148.8833,308.69,39,94,2.66,AU,1612675017
Craig,40.5153,-107.5464,273.15,69,90,2.06,US,1612675017
Kavaratti,10.5669,72.642,300.78,60,83,3.81,IN,1612675017
Gazojak,41.1875,61.4036,280.96,53,96,3.81,TM,1612675017
Campeche,19.0,-90.5,293.21,87,0,1.02,MX,1612675017
General Roca,-39.0333,-67.5833,291.15,68,0,8.23,AR,1612675017
Ulladulla,-35.35,150.4667,297.15,64,75,6.69,AU,1612674913
Beringovskiy,63.05,179.3167,250.6,90,78,5.37,RU,1612675017
Krasnorechenskiy,44.6265,135.3532,256.51,86,46,6.28,RU,1612675017
Sarangani,5.4033,125.4636,301.26,69,100,2.61,PH,1612675018
Guerrero Negro,27.9769,-114.0611,289.16,63,0,2.68,MX,1612674829
Esperance,-33.8667,121.9,291.15,88,90,8.75,AU,1612675018
Shaowu,27.3409,117.4831,297.95,47,0,0.9,CN,1612675018
Vao,-22.6667,167.4833,298.82,82,0,5.99,NC,1612675018
Nuuk,64.1835,-51.7216,276.15,44,1,10.29,GL,1612674980
Trairi,-3.2778,-39.2689,297.94,88,7,2.51,BR,1612674748
Klaksvík,62.2266,-6.589,274.15,80,75,7.72,FO,1612675018
Whitehorse,60.7161,-135.0538,246.15,76,40,1.03,CA,1612674908
Rafai,4.95,23.9167,290.77,28,30,2.65,CF,1612675018
Chodavaram,17.8333,82.95,301.15,39,32,2.06,IN,1612675018
Hasaki,35.7333,140.8333,290.93,25,20,2.57,JP,1612675019
Curitibanos,-27.2828,-50.5844,284.67,100,1,0.87,BR,1612675019
Oranjestad,12.524,-70.027,298.15,83,20,7.72,AW,1612675019
Srednekolymsk,67.45,153.6833,247.84,83,16,0.9,RU,1612675019
Povolzhskiy,53.5854,49.7629,254.15,71,40,3.0,RU,1612675019
Cassilândia,-19.1133,-51.7342,292.48,77,8,0.96,BR,1612674813
Destin,30.3935,-86.4958,282.15,93,90,4.12,US,1612674785
Grand Baie,-20.0182,57.5802,302.04,74,2,4.47,MU,1612675019
Puerto Nariño,-3.7703,-70.3831,298.15,100,40,0.78,CO,1612674915
Beberibe,-4.1797,-38.1306,300.15,78,75,3.6,BR,1612675019
Sibu,2.3,111.8167,303.15,74,40,2.57,MY,1612675019
Tiznit Province,29.5833,-9.5,281.59,90,53,5.12,MA,1612674749
Morro Bay,35.3658,-120.8499,285.93,94,2,2.65,US,1612675020
Yulara,-25.2406,130.9889,307.15,18,0,4.63,AU,1612675020
Chui,-33.6971,-53.4616,291.72,90,0,2.86,UY,1612675020
Danielskuil,-28.1887,23.5395,291.13,86,7,4.37,ZA,1612675020
Saint Anthony,45.0205,-93.218,250.15,64,1,3.09,US,1612675020
Kota Kinabalu,5.9749,116.0724,303.71,79,20,2.57,MY,1612675020
Port Hardy,50.6996,-127.4199,278.15,93,90,2.06,CA,1612674751
Don Luan,11.5333,106.9167,306.4,43,54,2.19,VN,1612674863
San Luis,-33.295,-66.3356,295.62,33,0,6.76,AR,1612675020
Tangshan,39.6333,118.1833,277.04,58,0,3.73,CN,1612675020
Takoradze,4.8845,-1.7554,299.06,89,9,3.91,GH,1612675021
Niamey,13.5137,2.1098,295.15,21,58,1.54,NE,1612675021
Bubaque,11.2833,-15.8333,298.29,50,42,9.84,GW,1612675021
Sobolevo,54.4299,31.8996,252.03,91,45,3.36,RU,1612675021
Hay River,60.8156,-115.7999,236.15,67,9,1.03,CA,1612675021
Umred,20.85,79.3333,295.15,33,0,1.54,IN,1612675021
Alofi,-19.0595,-169.9187,301.15,83,100,3.6,NU,1612675021
Alta Floresta,-9.8756,-56.0861,294.68,99,100,0.79,BR,1612675021
Khandyga,62.6667,135.6,244.49,85,94,0.92,RU,1612675022
Andreapol',56.6513,32.2664,255.39,93,98,3.45,RU,1612675022
Airai,-8.9266,125.4092,295.75,82,35,2.57,TL,1612675002
Ongandjera,-17.8833,15.0667,294.58,46,57,3.16,NA,1612675022
Faya,18.3851,42.4509,285.15,81,0,1.54,SA,1612675022
Sørland,67.667,12.6934,275.04,80,100,8.28,NO,1612674851
Manaure,11.7751,-72.4445,298.08,77,100,7.86,CO,1612674967
Navalmoral de la Mata,39.8916,-5.5406,278.15,93,19,0.48,ES,1612675022
Cherëmukhovo,60.3484,59.9851,246.59,88,100,3.76,RU,1612675022
Farsund,58.0948,6.8047,268.71,66,13,9.62,NO,1612675022
Havelock,34.8791,-76.9013,280.37,76,90,4.12,US,1612674981
Marakkanam,12.2,79.95,299.17,56,12,4.38,IN,1612675023
Huttwil,47.115,7.8621,277.04,97,80,0.89,CH,1612675023
Raja,8.4596,25.678,284.52,41,0,1.73,SS,1612675023
Amapá,1.0,-52.0,295.3,98,76,0.48,BR,1612675023
Palana,59.1167,159.9667,267.63,90,100,14.42,RU,1612675023
West Wendover,40.7391,-114.0733,284.15,22,1,11.83,US,1612674953
Igrim,63.1906,64.4162,245.38,88,100,6.83,RU,1612675023
Boffa,10.1667,-14.0333,295.43,59,85,1.49,GN,1612675023
Morgan City,29.6994,-91.2068,285.15,100,90,4.12,US,1612675023
Khabary,53.6259,79.5345,274.79,96,100,10.31,RU,1612675024
Constitución,-35.3333,-72.4167,286.77,88,23,1.33,CL,1612675024
Ibicuí,-14.8417,-39.9867,295.71,91,98,1.03,BR,1612675024
Bāsār,27.9833,94.6667,296.15,60,40,3.09,IN,1612675024
Bengkulu,-3.8004,102.2655,303.53,55,64,4.16,ID,1612674736
Barcelos,41.5388,-8.6151,277.15,93,0,1.31,PT,1612675024
Buala,-8.145,159.5921,299.81,79,100,3.05,SB,1612675024
Dukat,62.55,155.55,254.37,89,100,5.26,RU,1612675024
Rovaniemi,66.5,25.7167,264.15,92,0,5.14,FI,1612675024
Hamilton,39.1834,-84.5333,271.48,59,90,5.14,US,1612674806
Bambous Virieux,-20.3428,57.7575,303.15,70,40,4.63,MU,1612674830
Wewak,-3.5534,143.6268,302.39,70,80,4.72,PG,1612675025
Kaeo,-35.1,173.7833,294.26,71,86,3.58,NZ,1612674955
Zhigansk,66.7697,123.3711,237.25,82,100,7.17,RU,1612675025
Ushtobe,45.2514,77.9838,275.93,97,100,5.12,KZ,1612675025
Marilândia,-19.4128,-40.5417,297.0,82,100,0.49,BR,1612675025
Umluj,25.0213,37.2685,292.3,52,0,8.72,SA,1612675025
La Rioja,42.25,-2.5,276.15,93,40,3.6,ES,1612675025
San Policarpo,12.1791,125.5072,300.71,83,74,6.39,PH,1612675025
Fukagawa,43.7081,142.0392,267.15,42,75,1.54,JP,1612675026
Petropavlovsk-Kamchatskiy,53.0452,158.6483,270.15,100,90,2.0,RU,1612674970
Mahibadhoo,3.7833,72.9667,300.53,75,62,5.83,MV,1612675026
Anamur,36.0751,32.8369,284.15,87,40,2.57,TR,1612674877
Nizhniy Kuranakh,58.8353,125.4869,251.35,86,83,0.48,RU,1612675026
Skibbereen,51.55,-9.2667,275.15,87,20,4.63,IE,1612675026
Témiscaming,46.7212,-79.0971,264.15,79,51,2.06,CA,1612675026
Tabas,33.5959,56.9244,287.15,23,20,1.03,IR,1612675026
Snåase,64.2457,12.3778,260.63,86,13,1.03,NO,1612675026
Grants,35.1473,-107.8514,270.15,36,1,2.57,US,1612675026
Guhāgar,17.4842,73.1929,303.52,28,0,5.69,IN,1612675027
Deputatsky,69.3,139.9,238.46,85,58,0.32,RU,1612675027
Kidal,18.4411,1.4078,293.32,21,100,3.9,ML,1612675027
Labytnangi,66.6572,66.4183,244.18,83,100,9.57,RU,1612675027
Alice Town,25.7167,-79.3,297.81,83,0,8.86,BS,1612675027
Enshi,30.3,109.4833,285.35,79,100,0.49,CN,1612675027
Inyonga,-6.7167,32.0667,292.45,87,100,1.63,TZ,1612675027
Wamba,8.9333,8.6,294.59,24,84,0.35,NG,1612675027
Hofn,64.2539,-15.2082,273.43,93,94,8.61,IS,1612675027
Khatanga,71.9667,102.5,236.48,78,0,3.96,RU,1612675028
Mandan,46.8267,-100.8896,250.15,70,75,2.57,US,1612675028
Axum,14.1245,38.7244,283.83,58,0,0.98,ET,1612675028
Normandin,48.8333,-72.5321,262.15,72,31,3.6,CA,1612675028
Tecate,32.5667,-116.6333,287.04,93,90,0.44,MX,1612675028
Henderson,36.0397,-114.9819,285.37,22,1,2.06,US,1612674925
Dingle,10.9995,122.6711,301.34,79,70,6.3,PH,1612675028
Ahipara,-35.1667,173.1667,292.98,71,97,0.62,NZ,1612674967
Korla,41.7597,86.1469,276.29,63,83,3.27,CN,1612675028
Vila do Maio,15.1333,-23.2167,293.15,64,75,8.75,CV,1612675028
Abnūb,27.2696,31.1511,282.15,87,0,1.33,EG,1612675029
Tigil',57.8,158.6667,272.71,93,100,13.47,RU,1612675029
Eenhana,-17.4667,16.3333,293.98,77,100,1.1,NA,1612675029
Mokhsogollokh,61.4681,128.9203,240.36,84,94,1.95,RU,1612675029
Birjand,32.8663,59.2211,286.15,11,0,6.17,IR,1612675029
Kruisfontein,-34.0033,24.7314,293.71,74,1,1.79,ZA,1612674815
Christchurch,-43.5333,172.6333,292.15,68,0,10.8,NZ,1612674847
Envira,-7.3,-70.2167,296.35,97,100,0.42,BR,1612675029
Kirakira,-10.4544,161.9205,300.05,84,100,4.25,SB,1612675029
Talara,-4.5772,-81.2719,296.52,80,75,5.55,PE,1612675029
Port Hawkesbury,45.6169,-61.3485,272.59,74,90,4.63,CA,1612675029
Pathein,16.7833,94.7333,304.72,38,19,3.55,MM,1612674862
Palmer,42.1584,-72.3287,268.15,73,1,1.54,US,1612675030
Najrān,17.4924,44.1277,288.15,51,0,2.06,SA,1612675030
Asău,46.4333,26.4,270.37,74,100,1.61,RO,1612674969
Imeni Poliny Osipenko,52.4201,136.4853,257.85,89,100,6.65,RU,1612675030
Baryshivka,50.361,31.3217,260.37,85,0,2.03,UA,1612675030
Hobyo,5.3505,48.5268,299.3,71,64,8.0,SO,1612675030
Provideniya,64.3833,-173.3,253.1,86,1,3.93,RU,1612674750
Nieuw Amsterdam,5.8833,-55.0833,298.15,94,40,1.03,SR,1612675030
Kahului,20.8947,-156.47,295.15,64,40,3.09,US,1612674849
Mkwanga,-7.118,39.2078,299.15,89,40,2.03,TZ,1612675030
Shenjiamen,29.9576,122.298,286.76,63,0,1.79,CN,1612675030
Almeirim,-1.5233,-52.5817,297.78,84,1,2.69,BR,1612674732
Half Moon Bay,37.4636,-122.4286,285.37,93,90,2.06,US,1612675031
Hirara,24.8,125.2833,297.15,68,40,4.12,JP,1612675031
Iracoubo,5.4802,-53.2011,297.92,88,100,5.28,GF,1612675031
Slave Lake,55.2834,-114.769,239.15,75,1,2.57,CA,1612675031
Kamenka,51.3223,42.7678,257.04,81,98,5.42,RU,1612675031
Kharp,66.8014,65.8081,249.37,85,100,3.92,RU,1612675031
Navalcarnero,40.2891,-4.012,281.48,75,0,3.09,ES,1612675031
Ribeira Grande,38.5167,-28.7,289.36,88,96,9.45,PT,1612674966
Nālūt,30.3333,10.85,288.16,32,97,2.28,LY,1612675031
Panabá,21.2833,-88.2667,295.39,94,0,1.91,MX,1612675031
Severo-Yeniseyskiy,60.3725,93.0408,270.74,98,91,5.44,RU,1612675031
Linfen,36.0889,111.5189,284.7,35,100,0.56,CN,1612675032
Turtas,58.9417,69.1325,272.17,98,100,5.38,RU,1612675032
Arawa,-6.2132,155.5367,301.74,77,77,1.73,PG,1612675032
Ramotswa,-24.8716,25.8699,292.15,100,75,1.03,BW,1612674905
Bontang,0.1333,117.5,301.83,69,94,3.81,ID,1612675032
Barabai,-2.5833,115.3833,303.26,75,97,0.73,ID,1612675032
Zyryanka,65.75,150.85,247.23,85,31,0.91,RU,1612675032
